provinceName,districtName,country,percentage
서울특별시,마포구,멕시코,0.3
서울특별시,마포구,아랍에미리트,0.0
서울특별시,서대문구,중국,25.7
서울특별시,서대문구,대만,14.6
서울특별시,서대문구,일본,8.5
서울특별시,서대문구,기타,8.0
서울특별시,서대문구,미국,5.8
서울특별시,서대문구,홍콩,5.7
서울특별시,서대문구,싱가포르,4.0
서울특별시,서대문구,필리핀,3.8
서울특별시,서대문구,인도네시아,3.8
서울특별시,서대문구,말레이시아,3.6
서울특별시,서대문구,독일,2.4
서울특별시,서대문구,태국,2.4
서울특별시,서대문구,베트남,2.1
서울특별시,서대문구,프랑스,1.7
서울특별시,서대문구,캐나다,1.5
서울특별시,서대문구,러시아,1.2
서울특별시,서대문구,영국,1.1
서울특별시,서대문구,오스트레일리아,1.1
서울특별시,서대문구,인도,0.7
서울특별시,서대문구,카자흐스탄,0.6
서울특별시,서대문구,몽골,0.5
서울특별시,서대문구,사우디아라비아,0.3
서울특별시,서대문구,튀르키예,0.3
서울특별시,서대문구,멕시코,0.3
서울특별시,서대문구,아랍에미리트,0.2
서울특별시,서초구,일본,20.7
서울특별시,서초구,중국,14.2
서울특별시,서초구,미국,10.5
서울특별시,서초구,기타,9.5
서울특별시,서초구,대만,7.7
서울특별시,서초구,홍콩,4.6
서울특별시,서초구,인도네시아,4.2
서울특별시,서초구,싱가포르,3.9
서울특별시,서초구,캐나다,3.0
서울특별시,서초구,독일,2.6
서울특별시,서초구,필리핀,2.6
서울특별시,서초구,태국,2.4
서울특별시,서초구,말레이시아,2.0
서울특별시,서초구,프랑스,1.9
서울특별시,서초구,영국,1.5
서울특별시,서초구,오스트레일리아,1.5
서울특별시,서초구,인도,1.4
서울특별시,서초구,베트남,1.4
서울특별시,서초구,러시아,1.2
서울특별시,서초구,몽골,1.1
서울특별시,서초구,카자흐스탄,0.7
서울특별시,서초구,튀르키예,0.5
서울특별시,서초구,사우디아라비아,0.4
서울특별시,서초구,멕시코,0.3
서울특별시,서초구,아랍에미리트,0.1
서울특별시,성동구,일본,19.9
서울특별시,성동구,중국,19.4
서울특별시,성동구,대만,13.0
서울특별시,성동구,기타,6.7
서울특별시,성동구,홍콩,6.5
서울특별시,성동구,미국,4.9
서울특별시,성동구,싱가포르,4.4
서울특별시,성동구,인도네시아,4.3
서울특별시,성동구,필리핀,3.6
서울특별시,성동구,말레이시아,3.0
서울특별시,성동구,태국,2.2
서울특별시,성동구,베트남,1.8
서울특별시,성동구,캐나다,1.7
서울특별시,성동구,독일,1.6
서울특별시,성동구,프랑스,1.4
서울특별시,성동구,오스트레일리아,1.0
서울특별시,성동구,영국,1.0
서울특별시,성동구,러시아,0.9
서울특별시,성동구,몽골,0.9
서울특별시,성동구,인도,0.6
서울특별시,성동구,카자흐스탄,0.4
서울특별시,성동구,사우디아라비아,0.2
서울특별시,성동구,튀르키예,0.2
서울특별시,성동구,멕시코,0.2
서울특별시,성동구,아랍에미리트,0.1
서울특별시,성북구,중국,27.5
서울특별시,성북구,기타,12.0
서울특별시,성북구,일본,9.5
서울특별시,성북구,미국,7.7
서울특별시,성북구,대만,6.2
서울특별시,성북구,몽골,5.0
서울특별시,성북구,홍콩,3.8
서울특별시,성북구,베트남,3.2
서울특별시,성북구,독일,2.9
서울특별시,성북구,싱가포르,2.8
서울특별시,성북구,인도네시아,2.8
서울특별시,성북구,말레이시아,2.4
서울특별시,성북구,캐나다,2.3
서울특별시,성북구,필리핀,2.3
서울특별시,성북구,러시아,1.6
서울특별시,성북구,프랑스,1.5
서울특별시,성북구,오스트레일리아,1.3
서울특별시,성북구,영국,1.2
서울특별시,성북구,인도,1.1
서울특별시,성북구,카자흐스탄,1.0
서울특별시,성북구,태국,0.9
서울특별시,성북구,사우디아라비아,0.4
서울특별시,성북구,멕시코,0.4
서울특별시,성북구,튀르키예,0.3
서울특별시,성북구,아랍에미리트,0.1
서울특별시,송파구,중국,15.7
서울특별시,송파구,일본,12.1
서울특별시,송파구,기타,11.3
서울특별시,송파구,대만,10.3
서울특별시,송파구,미국,8.7
서울특별시,송파구,홍콩,5.0
서울특별시,송파구,필리핀,3.9
서울특별시,송파구,싱가포르,3.9
서울특별시,송파구,인도네시아,3.7
서울특별시,송파구,말레이시아,3.0
서울특별시,송파구,캐나다,2.6
서울특별시,송파구,독일,2.3
서울특별시,송파구,몽골,2.1
서울특별시,송파구,베트남,2.0
서울특별시,송파구,태국,2.0
서울특별시,송파구,러시아,1.9
서울특별시,송파구,인도,1.8
서울특별시,송파구,오스트레일리아,1.7
서울특별시,송파구,영국,1.5
서울특별시,송파구,프랑스,1.4
서울특별시,송파구,카자흐스탄,1.2
서울특별시,송파구,사우디아라비아,0.8
서울특별시,송파구,튀르키예,0.4
서울특별시,송파구,멕시코,0.4
서울특별시,송파구,아랍에미리트,0.2
서울특별시,양천구,중국,26.0
서울특별시,양천구,일본,13.5
서울특별시,양천구,기타,11.1
서울특별시,양천구,미국,9.6
서울특별시,양천구,대만,5.0
서울특별시,양천구,캐나다,4.5
서울특별시,양천구,홍콩,4.0
서울특별시,양천구,베트남,3.6
서울특별시,양천구,필리핀,3.0
서울특별시,양천구,인도네시아,2.4
서울특별시,양천구,독일,2.2
서울특별시,양천구,오스트레일리아,1.9
서울특별시,양천구,말레이시아,1.9
서울특별시,양천구,싱가포르,1.7
서울특별시,양천구,영국,1.6
서울특별시,양천구,몽골,1.5
서울특별시,양천구,러시아,1.4
서울특별시,양천구,태국,1.4
서울특별시,양천구,프랑스,1.4
서울특별시,양천구,인도,0.8
서울특별시,양천구,카자흐스탄,0.5
서울특별시,양천구,튀르키예,0.4
서울특별시,양천구,멕시코,0.3
